name Horizontal_STD Vertical_STD
BPM.13L7.B2 8.65e-02 7.95e-02
BPM.15L7.B2 8.66e-02 1.01e-01
BPM.17L7.B2 7.92e-02 7.79e-02
BPM.19L7.B2 8.81e-02 8.43e-02
BPM.21L7.B2 8.87e-02 8.65e-02
BPM.23L7.B2 8.14e-02 8.42e-02
BPM.25L7.B2 8.15e-02 8.16e-02
BPM.27L7.B2 8.29e-02 9.89e-02
BPM.29L7.B2 8.23e-02 8.37e-02
BPM.31L7.B2 8.37e-02 8.29e-02
BPM.33L7.B2 8.20e-02 8.06e-02
BPMWE.4L7.B2 1.69e-01 1.63e-01
BPMWE.5L7.B2 1.46e-01 1.47e-01
BPMR.6L7.B2 1.22e-01 1.19e-01
BPM.8L7.B2 8.38e-02 9.26e-02
BPM.10L7.B2 8.82e-02 7.75e-02
BPM.12L7.B2 8.60e-02 8.57e-02
BPM.14L7.B2 8.25e-02 8.21e-02
BPM.16L7.B2 8.81e-02 9.19e-02
BPM.18L7.B2 8.05e-02 8.04e-02
BPM.20L7.B2 8.37e-02 8.39e-02
BPM.22L7.B2 8.29e-02 8.54e-02
BPM.24L7.B2 8.43e-02 8.65e-02
BPM.26L7.B2 8.74e-02 8.46e-02
BPM.28L7.B2 8.40e-02 9.23e-02
BPM.30L7.B2 8.31e-02 8.31e-02
BPM.32L7.B2 8.10e-02 7.93e-02
BPMW.4R7.B2 1.19e-01 1.14e-01
BPMW.5R7.B2 2.25e-01 1.71e-01
BPM.6R7.B2 1.32e-01 1.21e-01
BPM.8R7.B2 8.36e-02 8.68e-02
BPM.10R7.B2 8.73e-02 8.31e-02
BPM.12R7.B2 8.55e-02 9.08e-02
BPM.14R7.B2 8.43e-02 8.38e-02
BPM.16R7.B2 8.65e-02 8.59e-02
BPM.18R7.B2 7.92e-02 8.12e-02
BPM.20R7.B2 9.00e-02 8.35e-02
BPM.22R7.B2 8.68e-02 8.35e-02
BPM.24R7.B2 8.34e-02 8.67e-02
BPM.26R7.B2 8.38e-02 8.71e-02
BPM.28R7.B2 8.53e-02 8.60e-02
BPM.30R7.B2 8.56e-02 8.51e-02
BPM.32R7.B2 9.27e-02 8.79e-02
BPM.34R7.B2 8.40e-02 8.11e-02
BPMWE.4R7.B2 1.32e-01 1.27e-01
BPMWE.5R7.B2 1.49e-01 1.55e-01
BPM_A.7R7.B2 1.16e-01 1.17e-01
BPM.9R7.B2 9.28e-02 8.46e-02
BPM.11R7.B2 8.53e-02 8.80e-02
BPM.13R7.B2 8.87e-02 9.68e-02
BPM.15R7.B2 8.73e-02 8.84e-02
BPM.17R7.B2 8.54e-02 8.71e-02
BPM.19R7.B2 8.11e-02 8.45e-02
BPM.21R7.B2 8.71e-02 8.44e-02
BPM.23R7.B2 8.56e-02 8.45e-02
BPM.25R7.B2 8.44e-02 8.77e-02
BPM.27R7.B2 8.76e-02 9.13e-02
BPM.29R7.B2 8.21e-02 8.18e-02
BPM.31R7.B2 8.46e-02 8.32e-02
BPM.33R7.B2 8.08e-02 8.03e-02
BPMSW.1R8.B2 1.98e-01 1.98e-01
BPMSX.4R8.B2 2.48e-01 2.36e-01
BPMYB.4R8.B2 1.18e-01 1.28e-01
BPMR.6R8.B2 1.58e-01 1.57e-01
BPM.8R8.B2 8.52e-02 9.01e-02
BPM.10R8.B2 8.61e-02 8.92e-02
BPM.12R8.B2 8.77e-02 8.48e-02
BPM.14R8.B2 9.00e-02 8.49e-02
BPM.16R8.B2 8.27e-02 8.57e-02
BPM.18R8.B2 9.02e-02 8.89e-02
BPM.20R8.B2 8.79e-02 8.91e-02
BPM.22R8.B2 8.58e-02 9.09e-02
BPM.24R8.B2 8.57e-02 8.75e-02
BPM.26R8.B2 8.44e-02 8.84e-02
BPM.28R8.B2 8.71e-02 9.79e-02
BPM.30R8.B2 8.87e-02 8.48e-02
BPM.32R8.B2 8.95e-02 8.90e-02
